Country;Overall score;Electoral process and pluralism full democracies;Functioning of government;Political participation;Political culture;Civil liberties
Slovakia;7.29;9.58;7.14;5.56;5.63;8.53
Timor-Leste;7.24;8.67;7.14;5.56;6.88;7.94
Greece;7.23;9.58;5.36;6.11;6.25;8.82
Panama;7.13;9.58;6.43;6.11;5.00;8.53
Trinidad and Tobago;7.10;9.58;7.14;5.56;5.00;8.24
Bulgaria;7.01;9.17;6.07;7.22;4.38;8.24
Indonesia;6.97;7.75;7.14;6.67;6.25;7.06
Argentina;6.96;9.17;5.00;6.11;6.88;7.65
Philippines;6.94;9.17;5.71;7.22;4.38;8.24
Brazil;6.90;9.58;6.79;5.56;3.75;8.82
Poland;6.83;9.17;5.71;6.67;4.38;8.24
Suriname;6.77;9.17;6.43;5.00;5.00;8.24
Croatia;6.75;9.17;6.07;5.56;5.00;7.94
Ghana;6.75;8.33;5.71;6.11;6.25;7.35
Hungary;6.72;9.17;6.07;4.44;6.88;7.06
Dominican Republic;6.67;8.75;5.71;5.00;6.25;7.65
Colombia;6.67;9.17;7.14;4.44;4.38;8.24
Peru;6.65;9.17;5.36;6.11;4.38;8.24
El Salvador;6.64;9.17;6.07;4.44;5.00;8.53
Romania;6.62;9.17;5.71;5.00;5.00;8.24
Mongolia;6.62;9.17;5.71;5.00;5.00;8.24
Lesotho;6.59;8.25;5.36;6.67;5.63;7.06
Serbia;6.57;8.75;5.36;6.67;5.00;7.06
Malaysia;6.54;6.92;7.86;6.11;6.25;5.59
Sri Lanka;6.48;7.83;6.79;5.00;6.88;5.88
Mexico;6.47;7.92;6.07;7.22;4.38;6.76
Hong Kong;6.42;3.92;5.71;5.56;7.50;9.41
Tunisia;6.40;6.00;6.07;7.78;6.25;5.88
Singapore;6.38;4.33;7.86;6.11;6.25;7.35
Nabimia;6.31;5.67;5.36;6.67;5.63;8.24
Paraguay;6.27;8.33;5.71;5.00;4.38;7.94
Guyana;6.25;8.33;5.36;6.11;4.38;7.06
Senegal;6.21;7.92;5.36;4.44;6.25;7.06
Papua New Guinea;6.03;6.92;6.07;3.89;5.63;7.65
Moldova;6.01;7.92;4.29;6.11;4.38;7.35
Zambia;5.99;7.08;5.36;3.89;6.88;6.76
Georgia;5.93;8.67;4.29;6.11;5.00;5.59
Honduras;5.92;9.17;5.71;3.89;4.38;6.47
Guatemala;5.92;7.92;6.07;3.89;4.38;7.35
Albania;5.91;7.00;4.36;5.56;5.00;7.65
Ecuador;5.81;8.25;4.64;5.00;4.38;6.76
Tanzania;5.76;7.00;5.00;5.56;6.25;5.00
Bangladesh;5.73;7.42;5.07;5.00;4.38;6.76
Montenegro;5.72;7.08;5.36;5.00;4.38;6.76
Ukraine;5.70;5.83;3.93;6.67;5.00;7.06
Malti;5.70;7.42;3.93;4.44;6.25;6.47
Benin;5.67;6.50;5.36;5.00;5.63;5.88
Fiji;5.64;4.58;5.71;6.67;5.63;5.59
Bolivia;5.63;7.00;5.36;5.00;3.75;7.06
Malawi;5.55;6.58;4.29;4.44;6.25;6.18
Kenya;5.33;4.33;5.00;6.67;5.63;5.00
Liberia;5.31;7.83;2.57;5.56;5.00;5.59
Uganda;5.26;5.25;3.57;4.44;6.88;6.18
Macedonia;5.23;6.92;3.21;6.11;3.75;6.18
Madagascar;5.07;5.92;3.57;5.56;5.63;4.71
Turkey;5.04;5.83;6.07;5.00;5.63;2.65
Kyrgyz Republic;4.93;7.42;2.93;5.56;3.75;5.00
Bhutan;4.93;8.33;5.36;2.78;4.38;3.82
Thailand;4.92;4.50;3.93;5.00;5.00;6.18
Bosnia and Hercegovina;4.87;6.50;2.93;5.00;3.75;6.18
Lebanon;4.86;4.42;2.14;7.78;4.38;5.59
Nepal;4.86;4.33;4.29;4.44;5.63;5.59
Nicaragua;4.81;4.50;3.29;3.89;5.63;6.76
Morocco;4.77;4.75;4.64;4.44;5.63;4.41
Burkina Faso;4.70;4.42;4.29;4.44;5.63;4.71
Venezuela;4.68;5.67;2.50;5.56;4.38;5.29
Sierra Leone;4.55;6.58;1.86;2.78;6.25;5.29
Nigeria;4.50;6.08;4.29;3.33;4.38;4.41
Palestine;4.49;4.33;2.14;7.78;4.38;3.82
Pakistan;4.33;6.00;5.36;2.78;2.50;5.00
Cambodia;4.27;3.17;5.71;3.33;5.00;4.12
Myanmar;4.20;3.17;3.57;4.44;6.88;2.94
Iraq;4.08;4.33;0.07;7.22;4.38;4.41
Mozambique;4.02;4.42;2.14;5.00;5.00;3.53
Haiti;4.02;5.17;2.21;2.22;3.75;6.76
Mauritania;3.96;3.00;4.29;5.00;3.13;4.41
Jordan;3.96;4.00;4.29;3.89;4.38;3.24
Niger;3.96;6.25;1.14;3.33;4.38;4.71
Armenia;3.88;4.33;2.86;4.44;1.88;5.88
Kuwait;3.85;3.17;4.29;3.89;4.38;3.53
Cote d’Ivoire;3.81;3.42;2.86;3.33;5.63;3.82
Gabon;3.74;2.58;2.21;4.44;5.63;3.82
Comoros;3.71;4.33;2.21;4.44;3.75;3.82
Ethiopia;3.60;0.00;3.57;5.56;5.63;3.24
Algeria;3.56;2.58;2.21;3.89;5.00;4.12
Belarus;3.54;1.33;3.57;3.89;6.25;2.65
Cameroon;3.46;2.00;3.21;3.89;4.38;3.82
Cuba;3.46;1.75;4.64;3.89;4.38;2.65
Angola;3.40;0.92;3.21;5.56;4.38;2.94
Vietnam;3.38;0.00;3.21;3.89;6.88;2.94
Togo;3.32;3.58;1.14;2.78;5.00;4.12
Egypt;3.31;2.58;3.93;3.33;3.75;2.94
Russia;3.24;2.67;2.50;5.00;2.50;3.53
Qatar;3.18;0.00;3.93;2.22;5.63;4.12
Guinea;3.14;3.50;0.43;4.44;4.38;2.94
China;3.14;0.00;4.64;3.33;6.25;1.47
Rwanda;3.07;0.83;5.00;2.22;4.38;2.94
Kazakhstan;3.06;0.50;2.14;4.44;4.38;3.82
Zimbabwe;3.05;0.50;2.00;3.89;5.63;3.24
Oman;3.04;0.00;3.93;2.78;4.38;4.12
Swaziland;3.03;0.92;2.86;2.22;5.63;3.53
Congo (Brazzaville);2.91;1.67;2.86;3.33;3.75;2.94
Gambia;2.91;1.75;3.21;2.22;5.00;2.35
Djibouti;2.83;0.42;2.14;3.33;5.63;2.65
Bahrain;2.79;1.25;3.21;2.78;4.38;2.35
United Arab Emirates;2.75;0.00;3.57;2.22;5.00;2.94
Azerbaijan;2.65;0.50;2.14;3.33;3.75;3.53
Afghanistan;2.55;2.50;1.14;2.78;2.50;3.82
Burundi;2.40;-0.33;0.79;3.89;5.00;2.65
Sudan;2.37;0.00;1.79;3.89;5.00;1.18
Eritrea;2.37;0.00;2.14;1.67;6.88;1.18
Laos;2.37;0.83;2.86;1.67;5.00;1.47
Iran;2.34;0.00;3.21;3.89;3.13;1.47
Libya;2.25;1.00;0.00;1.67;5.63;2.94
Yemen;2.07;0.00;0.00;4.44;5.00;0.88
Guinea-Bissau;1.98;1.67;0.00;2.78;3.13;2.35
Uzbekistan;1.95;0.08;1.86;2.22;5.00;0.59
Democratic Republic of Congo;1.93;0.92;0.71;2.78;4.38;0.88
Saudi Arabia;1.93;0.00;2.86;2.22;3.13;1.47
Tajikistan;1.89;0.58;0.07;1.67;6.25;0.88
Turkmenistan;1.83;0.00;0.79;2.78;5.00;0.59
Equatorial Guinea;1.70;0.00;0.43;2.22;4.38;1.47
Central African Republic;1.61;1.75;0.36;1.11;2.50;2.35
Chad;1.50;0.00;0.00;1.11;3.75;2.65
Syria;1.43;0.00;0.00;2.78;4.38;0.00
North Corea;1.08;0.00;2.50;1.67;1.25;0.00
